This file is for Helium Flow Rate and Pressure in Process Chamber with Time under Measuring Mode. 
Time (Sec)	He Flow (sccm)	P. C. P (mTorr)
37.100	0.82	9.74
37.300	0.80	9.70
37.500	0.82	9.21
37.700	0.84	9.74
37.900	0.85	9.50
38.100	0.88	9.54
38.300	0.98	9.50
38.500	1.11	9.58
38.700	1.24	10.32
38.900	1.33	10.07
39.100	1.42	10.65
39.300	1.48	10.77
39.500	1.53	10.93
39.700	1.55	11.55
39.900	1.57	11.88
40.100	1.58	11.84
40.300	1.59	12.04
40.500	1.60	12.17
40.700	1.60	12.04
40.900	1.59	12.41
41.100	1.59	12.66
41.300	1.59	12.66
41.500	1.58	12.74
41.700	1.58	12.99
41.900	1.57	13.23
42.100	1.56	13.32
42.300	1.55	13.44
42.500	1.55	12.95
42.700	1.54	13.36
42.900	1.53	13.40
43.100	1.52	13.36
43.300	1.51	13.69
43.500	1.50	13.56
43.700	1.50	13.56
43.900	1.47	13.60
44.100	1.47	13.40
44.300	1.46	13.44
44.500	1.45	13.27
44.700	1.45	13.60
44.900	1.44	13.32
45.100	1.43	13.19
45.300	1.42	13.32
45.500	1.41	13.32
45.700	1.39	13.32
45.900	1.39	13.48
46.100	1.38	13.23
46.300	1.36	13.52
46.500	1.36	13.44
46.700	1.35	13.27
46.900	1.34	13.23
47.100	1.33	13.19
47.300	1.33	13.23
47.500	1.32	12.82
47.700	1.31	13.11
47.900	1.30	13.03
48.100	1.29	13.40
48.300	1.29	12.86
48.500	1.28	12.95
48.700	1.27	12.90
48.900	1.26	12.78
49.100	1.26	12.70
49.300	1.25	12.78
49.500	1.24	12.86
49.700	1.24	12.74
49.900	1.23	12.74
50.100	1.22	12.49
50.300	1.22	12.78
50.500	1.21	12.58
50.700	1.20	12.58
50.900	1.19	12.17
51.100	1.18	12.62
51.300	1.18	12.49
51.500	1.18	12.41
51.700	1.17	12.25
51.900	1.16	12.41
52.100	1.15	12.17
52.300	1.15	12.29
52.500	1.14	11.92
52.700	1.14	12.04
52.900	1.14	12.29
53.100	1.14	12.08
53.300	1.13	12.04
53.500	1.12	12.21
53.700	1.10	11.92
53.900	1.10	12.08
54.100	1.09	12.00
54.300	1.07	12.25
54.500	1.05	12.08
54.700	1.04	12.00
54.900	1.03	11.55
55.100	1.00	11.84
55.300	1.00	11.71
55.500	0.98	11.18
55.700	0.96	11.47
55.900	0.94	11.43
56.100	0.93	11.10
56.300	0.91	11.22
56.500	0.89	11.22
56.700	0.88	11.18
56.900	0.87	11.30
57.100	0.86	10.81
57.300	0.85	10.65
57.500	0.84	10.65
57.700	0.83	10.77
57.900	0.83	10.85
58.100	0.81	10.44
58.300	0.81	10.56
58.500	0.81	10.56
58.700	0.81	10.52
58.900	0.80	10.44
59.100	0.79	10.40
59.300	0.78	10.40
59.500	0.78	10.19
59.700	0.78	10.23
59.900	0.77	10.07
60.100	0.78	9.86
