This file is for Helium Flow Rate and Pressure in Process Chamber with Time under Measuring Mode. 
Time (Sec)	He Flow (sccm)	P. C. P (mTorr)
34.515	0.99	11.22
34.715	0.99	11.06
34.915	0.99	10.52
35.115	0.98	10.65
35.315	0.98	10.48
35.515	0.98	10.40
35.715	0.98	10.60
35.915	0.97	10.15
36.115	0.97	10.07
36.315	0.98	10.28
36.515	0.97	10.36
36.715	0.97	10.32
36.915	0.96	10.23
37.115	0.98	10.15
37.315	0.97	9.95
37.515	0.99	10.23
37.715	3.25	10.19
37.915	16.04	13.23
38.115	18.24	19.68
38.315	19.36	25.93
38.515	19.78	31.31
38.715	19.93	35.75
38.915	19.99	40.39
39.115	20.06	44.58
39.315	20.05	48.44
39.515	20.08	51.73
39.715	20.10	54.85
39.915	20.10	57.68
40.115	20.12	59.78
40.315	20.12	62.41
40.515	20.12	64.38
40.715	20.12	65.90
40.915	20.13	67.83
41.115	20.15	69.31
41.315	20.14	70.58
41.515	20.14	72.31
41.715	20.14	72.96
41.915	20.13	73.95
42.115	20.15	75.14
42.315	20.13	76.25
42.515	20.14	76.46
42.715	20.14	77.20
42.915	20.15	77.69
43.115	20.15	78.35
43.315	20.15	79.00
43.515	20.15	79.21
43.715	20.16	79.74
43.915	20.14	79.70
44.115	20.15	80.69
44.315	20.14	80.93
44.515	20.16	80.52
44.715	20.14	81.18
44.915	20.13	81.39
45.115	20.15	81.22
45.315	20.15	81.67
45.515	20.15	81.84
45.715	20.15	82.08
45.915	20.14	82.37
46.115	20.15	82.33
46.315	20.17	82.33
46.515	20.15	82.62
46.715	20.15	82.78
46.915	20.16	82.91
47.115	20.16	82.91
47.315	20.15	82.70
47.515	20.15	83.03
47.715	20.15	82.66
47.915	20.15	83.23
48.115	20.15	83.28
48.316	20.16	82.95
48.515	20.15	83.03
48.715	20.16	83.19
48.915	20.16	83.23
49.115	20.16	83.19
49.315	20.16	83.28
49.515	20.16	83.23
49.715	20.16	83.40
49.915	20.15	83.15
50.115	20.16	83.40
50.315	20.16	83.15
50.515	20.16	83.32
50.715	20.15	83.52
50.915	20.15	83.40
51.115	20.15	83.56
51.315	20.16	83.48
51.515	20.16	83.65
51.715	20.16	83.19
51.915	20.16	83.19
52.115	20.16	83.32
52.315	16.13	82.95
52.515	10.43	79.82
52.715	7.25	75.68
52.915	5.48	71.36
53.115	4.48	67.34
53.315	3.87	63.15
53.515	3.52	59.49
53.715	3.29	55.71
53.915	3.11	52.83
54.115	2.97	49.55
54.315	2.86	46.84
54.515	2.74	44.25
54.715	2.64	41.78
54.915	2.53	39.85
55.115	2.43	37.59
55.315	2.33	35.62
55.515	2.23	33.69
55.715	2.15	32.09
55.915	2.05	30.73
56.115	1.98	29.09
56.315	1.90	27.69
56.515	1.82	27.12
56.715	1.75	25.64
56.915	1.71	24.65
57.115	1.65	23.67
57.315	1.60	22.56
57.515	1.55	21.65
57.715	1.50	20.79
57.915	1.46	20.18
58.115	1.42	19.48
58.315	1.39	18.78
58.515	1.36	18.16
58.715	1.33	17.79
58.915	1.30	17.14
59.115	1.28	16.60
59.315	1.25	16.07
59.515	1.24	15.90
59.715	1.22	15.16
59.915	1.20	14.88
60.115	1.18	14.67
