This file is for Nitrogen Flow Rate and Pressure in Process Chamber with Time under Measuring Mode. 
Time (Sec)	N2 Flow (sccm)	P. C. P (mTorr)
21.461	19.97	114.33
21.661	19.98	114.17
21.861	19.96	113.92
22.061	19.97	114.17
22.261	19.99	114.04
22.461	19.97	114.25
22.661	19.98	114.37
22.861	19.97	114.17
23.061	19.96	114.46
23.261	19.97	114.04
23.461	19.97	114.33
23.661	19.98	114.25
23.861	19.98	114.21
24.061	19.97	114.04
24.261	19.95	114.25
24.461	19.97	113.76
24.661	19.97	114.00
24.861	19.96	114.13
25.061	19.97	113.88
25.261	19.98	114.13
25.461	19.96	114.29
25.661	19.99	114.25
25.861	19.96	114.21
26.061	19.97	114.00
26.261	19.97	114.21
26.461	19.99	114.04
26.661	19.98	114.21
26.861	20.01	114.09
27.061	19.93	113.68
27.261	19.95	114.13
27.461	19.97	114.00
27.661	19.98	114.00
27.861	20.00	114.09
28.061	19.95	114.13
28.261	19.96	113.84
28.461	19.96	113.72
28.661	19.97	114.00
28.861	19.96	113.84
29.061	19.98	113.43
29.261	19.97	113.72
29.461	19.97	113.63
29.661	19.25	113.76
29.861	10.62	112.36
30.061	5.18	108.75
30.261	3.04	104.39
30.461	2.28	100.16
30.661	2.08	95.76
30.861	2.10	91.37
31.061	2.19	87.18
31.261	2.28	83.52
31.461	2.35	79.70
31.661	2.39	76.29
31.861	2.40	72.88
32.061	2.38	69.76
32.261	2.35	66.60
32.461	2.32	64.09
32.661	2.26	61.13
32.861	2.21	58.75
33.061	2.15	56.45
33.261	2.09	54.11
33.461	2.03	51.97
33.661	1.96	50.33
33.861	1.90	48.28
34.061	1.84	46.71
34.261	1.78	45.07
34.461	1.72	42.98
34.661	1.67	41.95
34.861	1.62	40.31
35.061	1.57	38.91
35.261	1.53	37.76
35.461	1.49	36.48
35.661	1.44	35.25
35.861	1.41	34.39
36.061	1.37	33.40
36.261	1.34	32.29
36.461	1.31	31.31
36.661	1.28	30.41
36.861	1.25	29.54
37.061	1.22	28.84
37.261	1.20	28.02
37.461	1.17	27.24
37.661	1.15	26.58
37.861	1.13	25.68
38.061	1.11	25.48
38.261	1.09	24.45
38.461	1.08	24.20
38.661	1.06	23.46
38.861	1.04	23.01
39.061	1.03	22.44
39.261	1.01	22.39
39.461	1.00	21.65
39.661	0.99	21.29
39.862	0.97	20.63
40.061	0.96	20.30
40.261	0.96	20.01
40.461	0.94	19.68
40.661	0.93	19.52
40.861	0.93	19.07
41.061	0.92	18.86
41.261	0.91	18.20
41.461	0.90	18.16
41.661	0.90	17.92
41.861	0.89	17.71
42.061	0.88	17.26
42.261	0.87	17.14
42.461	0.87	16.89
42.661	0.87	16.81
42.861	0.86	16.44
43.061	0.85	16.19
43.261	0.85	16.15
43.461	0.85	15.66
43.661	0.84	15.49
43.861	0.83	15.78
44.061	0.83	15.29
44.261	0.82	15.21
44.461	0.82	15.00
44.661	0.82	14.79
44.861	0.81	14.79
45.061	0.81	14.59
45.262	0.82	14.42
45.461	0.81	14.26
45.661	0.80	14.18
45.861	0.80	14.26
46.061	0.79	13.97
46.261	0.79	14.18
46.461	0.79	13.85
46.661	0.78	13.77
46.861	0.79	13.64
47.061	0.78	13.52
47.261	0.78	13.36
47.461	0.78	13.23
47.661	0.77	13.36
47.861	0.77	12.90
48.061	0.77	12.90
48.261	0.76	13.19
48.461	0.76	12.99
48.661	0.76	12.70
48.861	0.76	12.82
49.061	0.76	12.74
49.261	0.76	12.54
49.461	0.75	12.58
49.661	0.75	12.37
49.861	0.75	12.58
50.061	0.75	12.66
50.261	0.75	12.21
50.461	0.75	12.37
50.661	0.74	12.33
50.861	0.74	12.37
51.061	0.74	12.17
51.261	0.74	12.21
51.461	0.74	12.12
51.661	0.74	12.12
51.861	0.74	12.12
52.061	0.73	11.84
52.261	0.73	12.04
52.461	0.73	11.88
52.661	0.73	11.92
52.861	0.73	11.67
53.061	0.72	11.92
53.261	0.73	11.67
53.461	0.73	11.96
53.661	0.72	11.96
53.861	0.72	11.71
54.061	0.72	11.96
54.261	0.72	11.71
54.461	0.72	11.84
54.661	0.72	11.59
54.862	0.71	11.34
55.061	0.71	11.63
55.261	0.71	11.59
55.461	0.71	11.59
55.661	0.71	11.55
55.861	0.71	11.71
56.061	0.71	11.51
56.261	0.71	11.51
56.461	0.70	11.59
56.661	0.71	11.30
56.861	0.70	11.59
57.061	0.70	11.51
57.261	0.71	11.34
57.461	0.70	11.47
57.661	0.70	11.63
57.861	0.69	11.38
58.061	0.70	11.38
58.261	0.70	11.38
58.461	0.70	11.55
58.661	0.69	11.55
58.861	0.70	11.22
59.061	0.69	11.34
59.261	0.69	11.10
59.461	0.69	11.51
59.661	0.69	11.55
59.861	0.69	11.30
60.061	0.69	11.38
